JD,Magnitude,Uncertainty
2459467.856,3.8,
2459484.82,3.7,
2459543.56,3.7,
2459549.473,3.8,
2459556.579,3.6,
2459561.483,4,
2459568.563,3.8,
2459571.484,4,
2459572.612,3.8,
2459575.543,3.7,
2459575.604,3.6,
2459576.521,3.5,
2459576.567,3.5,
2459577.563,3.6,
2459580.619,3.7,
2459581.585,3.8,
2459597.573,3.4,
2459602.5,3.8,
2459603.576,3.6,
2459604.583,3.6,
2459626.465,3.5,
2459630.5,3.8,
2459634.523,3.6,
2459634.581,3.5,
2459643.594,3.5,
2459663.973,3.5,
2459665.431,3.4,
2459666.435,3.5,
2459668.431,3.8,
2459689.46,4,
2459694.41,3.7,
2459697.417,3.7,
2459699.436,4,
2459707.404,3.8,
2459709.408,4.1,
2459716.401,3.7,
2459717.399,3.4,
2459720.396,4,
2459721.401,3.9,
2459722.43,3.6,
2459723.41,3.5,
2459724.407,3.3,
2459725.411,3.6,
2459743.395,3.4,
2459760.885,3.9,
2459768.861,4.2,
2459772.91,3.6,
2459780.859,4,
2459787.866,3.8,
2459789.906,4.1,
2459796.844,4,
2459816.828,3.8,
2459820.848,3.6,
2459824.899,3.9,
2459829.888,4,
2459830.852,3.5,
2459833.815,3.5,
2459841.838,3.5,
2459842.824,3.6,
2459845.828,3.7,
2459846.806,3.8,
2459860.822,3.5,
2459861.751,3.6,
2459861.81,3.5,
2459877.844,4.3,
2459882.81,3.5,
2459889.781,4,
2459898.744,3.7,
2459899.736,3.6,
2459900.727,3.5,
2459900.823,3.5,
2459901.729,3.5,
2459903.718,3.6,
2459921.6,3.5,
2459922.604,3.6,
2459927.49,3.9,
2459942.493,3.5,
2459944.552,3.8,
2459949.619,3.6,
2459952.58,3.6,
2459954.487,3.8,
2459965.5,3.8,
2459969.481,3.6,
2459970.48,3.5,
2459972.485,3.7,
2459981.544,3.7,
2459983.454,3.8,
2459988.482,3.6,
2459989.477,3.6,
2459994.482,3.9,
2460001.471,3.6,
2460004.486,3.8,
2460010.51,3.6,
2460015.46,3.7,
2460017.531,3.6,
2460020.461,3.4,
2460020.462,3.5,
2460021.549,3.6,
2460022.457,3.7,
2460023.463,3.7,
2460028.449,3.5,
2460030.486,3.5,
2460035.487,4,
2460036.445,3.7,
2460038.423,3.5,
2460045.46,3.9,
2460046.447,3.6,
2460055.426,3.7,
2460060.433,3.5,
2460065.413,3.8,
2460066.41,3.7,
2460078.397,3.5,
2460079.415,3.7,
2460080.408,3.7,
2460081.404,3.8,
2460083.411,3.8,
2460088.415,3.4,
2460171.818,4,
2460178.854,3.7,
2460202.838,3.9,
2460234.069,4.43,0.012
2460234.072,3.646,0.012
2460234.075,3.289,0.011
2460234.078,2.876,0.014
2460236.016,4.153,0.011
2460236.019,3.42,0.012
2460236.022,3.136,0.011
2460236.024,2.688,0.013
2460237.06,4.267,0.015
2460237.063,3.552,0.013
2460237.066,3.18,0.012
2460237.069,2.755,0.016
2460239.019,4.612,0.014
2460239.022,3.717,0.012
2460239.026,3.327,0.011
2460239.028,2.801,0.015
2460242.199,4.875,0.013
2460242.202,3.9,0.012
